trail_name, distance, state, surface
Hetch Hetchy Trail,3 mi,State: CA,Asphalt
Hicks Canyon Trail,2 mi,State: CA,Asphalt, Concrete, Crushed Stone
High Canal Bridge Pathway,1.46 mi,State: CA,Asphalt, Crushed Stone
Highway 237 Bikeway,5 mi,State: CA,Asphalt
Highway 87 Bikeway,4.1 mi,State: CA,Asphalt
Hoover Bike and Walking Trail,2 mi,State: CA,Asphalt
Humbug-Willow Creek Trail,18 mi,State: CA,Asphalt
Huntington Beach Bicycle Trail,8 mi,State: CA,Asphalt, Concrete
Inland Rail Trail,6.5 mi,State: CA,Asphalt
Iron Horse Regional Trail,27.2 mi,State: CA,Asphalt
Isabel Avenue Trail,3.2 mi,State: CA,Asphalt
Jeffrey Open Space Trail,4.1 mi,State: CA,Asphalt, Concrete
Joe Rodota Trail,7.7 mi,State: CA,Asphalt
Joe's Trail at Saratoga De Anza,1.4 mi,State: CA,Crushed Stone
Johnny Cash - Folsom Prison Blues Trail,3.2 mi,State: CA,Asphalt
Juanita Moe Trail,1 mi,State: CA,Asphalt
Kern River Parkway Trail,21.4 mi,State: CA,Asphalt
Lafayette-Moraga Regional Trail,7.65 mi,State: CA,Asphalt, Concrete
Laguna Creek Trail,4 mi,State: CA,Asphalt, Concrete
Laguna Dominguez Trail,2.7 mi,State: CA,Asphalt
Lake Almanor Recreation Trail,9.5 mi,State: CA,Asphalt
Lake Merced Loop (San Francisco),4.5 mi,State: CA,Asphalt
Lake Merritt Trail,3.1 mi,State: CA,Concrete
Lake Natoma Trail,6 mi,State: CA,Asphalt
Lake Tahoe Boulevard Bike Path,1.7 mi,State: CA,Asphalt
Lake Tahoe Community College Bike Path,1.1 mi,State: CA,Asphalt
Lakes Basin Path,5.2 mi,State: CA,Asphalt
Lewis S. Eaton Trail,5.9 mi,State: CA,Asphalt
Lincoln Hill Pathway,1.4 mi,State: CA,Asphalt
Linear Park (CA),1.1 mi,State: CA,Asphalt
Lodestar Connector,0.5 mi,State: CA,Asphalt
Los Alamitos Creek Trail,5.2 mi,State: CA,Asphalt, Concrete
Los Angeles River Trail,23.9 mi,State: CA,Asphalt
Los Banos Rail-Trail,1 mi,State: CA,Asphalt
Los Gatos Creek Trail,11.2 mi,State: CA,Asphalt, Dirt, Gravel
Lower Silver Creek Trail,1.05 mi,State: CA,Concrete
Main Street Connector,0.4 mi,State: CA,Asphalt
Manteca Tidewater Bikeway,3.4 mi,State: CA,Asphalt
Maria Ygnacio Bike Path,1.9 mi,State: CA,Asphalt
Marsh Creek Trail,8.5 mi,State: CA,Asphalt
Martin Luther King, Jr. Promenade,0.75 mi,State: CA,Concrete
Marvin Braude Bike Trail,21 mi,State: CA,Asphalt, Concrete
Matadero Creek Trail,1.5 mi,State: CA,Asphalt, Dirt
Meridian Connector,1 mi,State: CA,Asphalt
Mid-Town Trail,0.5 mi,State: CA,Asphalt
Middle Creek Trail (CA),3 mi,State: CA,Asphalt
Midway Bike Path,3.4 mi,State: CA,Asphalt
